Filled container:
Polar: (0.13466, -4.99726e+06); Function value = 0.203255
Polar: (1.16232, -4.97792e+06); Function value = 8.88813
Polar: (1.9907, -4.98751e+06); Function value = -27.2295
Polar: (0.16777, -4.99438e+06); Function value = -0.35178
Polar: (1.22686, -4.98511e+06); Function value = -1.32532
Polar: (1.18337, -4.9847e+06); Function value = -2.6526
Polar: (0.28937, -4.99406e+06); Function value = 0.835454
Polar: (1.7953, -4.99147e+06); Function value = 1.8959
Polar: (0.30209, -4.96826e+06); Function value = 5.95538
Polar: (0.23472, -4.98544e+06); Function value = -0.321151
Polar: (1.30791, -4.99219e+06); Function value = -1.88259
Polar: (1.13383, -4.98269e+06); Function value = 1.13825
Polar: (1.22478, -4.97008e+06); Function value = 1.22698
Polar: (0.12054, -4.99376e+06); Function value = -0.244657
Polar: (0.2259, -4.99896e+06); Function value = 0.257007
Polar: (1.7757, -4.9688e+06); Function value = -2.27207
Polar: (0.1396, -4.98405e+06); Function value = 0.169041
Polar: (1.27795, -4.9679e+06); Function value = 5.04611
Polar: (1.26623, -4.97093e+06); Function value = -3.28445
Polar: (0.14723, -4.99969e+06); Function value = 0.757987
Polar: (0.2468, -4.98206e+06); Function value = 0.784305
Polar: (1.17961, -4.98689e+06); Function value = -1.48462
Polar: (0.18907, -4.98031e+06); Function value = -0.273777
Polar: (1.12682, -4.98997e+06); Function value = 1.18239
Polar: (0.592, -4.99226e+06); Function value = -0.686169
Polar: (1.1306, -4.96789e+06); Function value = 1.15533
Polar: (0.31587, -4.99791e+06); Function value = -0.909882
Polar: (1.4419, -4.9935e+06); Function value = -187.121
Polar: (1.12457, -4.98028e+06); Function value = -4.99619
Polar: (0.6628, -4.9734e+06); Function value = -0.710823
Polar: (0.25961, -4.97086e+06); Function value = 10.4429
Polar: (1.212, -4.98621e+06); Function value = 19.8916
Polar: (0.2335, -4.99259e+06); Function value = -0.578807
Polar: (0.11339, -4.99419e+06); Function value = -0.115142
Polar: (0.27644, -4.99886e+06); Function value = -0.79593
Polar: (0.28561, -4.97676e+06); Function value = 0.690878
Polar: (0.17252, -4.97215e+06); Function value = -0.221978
Polar: (1.11087, -4.99434e+06); Function value = 2.41427
Polar: (1.32367, -4.98592e+06); Function value = -1.63311
Polar: (1.28711, -4.98602e+06); Function value = -3.7132
Polar: (1.2724, -4.96734e+06); Function value = -1.55924
Polar: (1.23856, -4.98905e+06); Function value = 2.37461
Polar: (0.10065, -4.98039e+06); Function value = 0.147487
Polar: (1.3186, -4.99384e+06); Function value = 1.37109
Polar: (0.27741, -4.9804e+06); Function value = 1.36941
Polar: (1.28529, -4.99142e+06); Function value = -5.55759
Polar: (1.7285, -4.99063e+06); Function value = 3.00033
Polar: (1.27544, -4.9841e+06); Function value = -3.03314
Polar: (1.10932, -4.97971e+06); Function value = 2.08001
Polar: (0.1745, -4.99197e+06); Function value = -3.91204
Polar: (0.20203, -4.99726e+06); Function value = 0.209324
Polar: (0.21493, -4.98979e+06); Function value = 0.215515
Polar: (0.2589, -4.97761e+06); Function value = -0.412937
Polar: (0.20306, -4.97089e+06); Function value = 0.207163
Polar: (0.31491, -4.99826e+06); Function value = 0.316883
Polar: (1.6954, -4.97416e+06); Function value = 2.33174
Polar: (0.65, -4.97716e+06); Function value = -2.049
Polar: (0.3124, -4.9759e+06); Function value = 0.343911
Polar: (1.14416, -4.98848e+06); Function value = -1.3476
Polar: (1.1562, -4.97416e+06); Function value = -1.852
Polar: (0.12075, -4.98446e+06); Function value = 0.121187
Polar: (1.10234, -4.9707e+06); Function value = -1.96147
Polar: (0.2466, -4.97192e+06); Function value = 0.644171
Polar: (1.18662, -4.98161e+06); Function value = -1.67336
Polar: (0.24178, -4.98809e+06); Function value = -1.64126
Polar: (1.17507, -4.97831e+06); Function value = -2.60224
Polar: (0.27914, -4.974e+06); Function value = -0.321832
Polar: (1.5869, -4.98827e+06); Function value = 3.41393
Polar: (0.8719, -4.97148e+06); Function value = 1.35172
Polar: (1.19058, -4.99506e+06); Function value = 1.45602
Polar: (1.27609, -4.98835e+06); Function value = -4.21944
Polar: (0.1301, -4.99811e+06); Function value = -0.202415
Polar: (1.24308, -4.99068e+06); Function value = 1.65017
Polar: (1.31334, -4.9701e+06); Function value = -1.32564
Polar: (0.10913, -4.98909e+06); Function value = -0.257506
Polar: (0.32374, -4.97409e+06); Function value = -5.67626
Polar: (0.2389, -4.99008e+06); Function value = -0.408553
Polar: (0.31681, -4.98157e+06); Function value = 0.611552
Polar: (1.31025, -4.97585e+06); Function value = -1.86991
Polar: (0.2809, -4.98149e+06); Function value = 0.368171
Polar: (1.22681, -4.9785e+06); Function value = -4.26399
Polar: (0.27971, -4.9867e+06); Function value = 0.695105
Polar: (0.25243, -4.98611e+06); Function value = -0.262015
Polar: (1.10428, -4.97087e+06); Function value = 1.40632
Polar: (0.3963, -4.97597e+06); Function value = -0.412183
Polar: (0.29935, -4.99793e+06); Function value = -0.519612
Polar: (0.15665, -4.97636e+06); Function value = 0.157313
Polar: (0.3056, -4.98689e+06); Function value = -0.318313
Polar: (0.2148, -4.99323e+06); Function value = -1.30818
Polar: (0.20484, -4.99694e+06); Function value = 0.259549
Polar: (0.14978, -4.99828e+06); Function value = -0.336197
Polar: (1.30151, -4.98408e+06); Function value = -1.80034
Polar: (1.693, -4.97851e+06); Function value = -1.87592
Polar: (0.25349, -4.97969e+06); Function value = 0.253701
Polar: (0.30561, -4.98164e+06); Function value = 0.439123
Polar: (1.4625, -4.97011e+06); Function value = -1.54542
Polar: (1.3434, -4.99362e+06); Function value = 3.51886
Polar: (0.18865, -4.96867e+06); Function value = 0.202772
Polar: (1.3037, -4.97592e+06); Function value = -2.43036
Polar: (0.14751, -4.98539e+06); Function value = 0.268777
Polar: (1.5792, -4.9969e+06); Function value = -1.59505
Polar: (1.26378, -4.99249e+06); Function value = -3.06601
Polar: (0.6985, -4.99882e+06); Function value = 2.09872
Polar: (1.26899, -4.98422e+06); Function value = -1.47398
Polar: (0.30117, -4.98655e+06); Function value = -0.49502
Polar: (0.30032, -4.99977e+06); Function value = -0.412355
Polar: (1.25653, -4.98297e+06); Function value = 1.31084
Polar: (0.15437, -4.97821e+06); Function value = 0.181175
Polar: (1.19628, -4.98016e+06); Function value = -1.19662
Polar: (1.5638, -4.96984e+06); Function value = -2.47398
Polar: (0.20594, -4.98485e+06); Function value = 1.23998
Polar: (0.32366, -4.98298e+06); Function value = -0.376232
Polar: (0.12579, -4.99424e+06); Function value = 0.566796
Polar: (1.25067, -4.99049e+06); Function value = -1.28692
Polar: (0.1297, -4.96768e+06); Function value = -0.18993
Polar: (1.14808, -4.99772e+06); Function value = 1.24274
Polar: (1.15294, -4.99096e+06); Function value = 3.17966
Polar: (1.30977, -4.97534e+06); Function value = -3.35504
Polar: (0.29283, -4.97758e+06); Function value = 0.822605
Polar: (1.18474, -4.98466e+06); Function value = 1.18851
Polar: (0.6252, -4.98874e+06); Function value = 0.633275
Polar: (1.4745, -4.97111e+06); Function value = 3.08847
Polar: (1.25593, -4.99198e+06); Function value = 1.87851
Polar: (1.2516, -4.97973e+06); Function value = 1.30439
Polar: (0.5726, -4.97627e+06); Function value = 3.37887
Polar: (1.3332, -4.97323e+06); Function value = -1.3416
Polar: (0.426, -4.99746e+06); Function value = 0.434887
Polar: (1.12368, -4.97372e+06); Function value = -1.12977
Polar: (0.14342, -4.99025e+06); Function value = -0.146631
Polar: (1.32307, -4.97092e+06); Function value = 2.56726
Polar: (1.10869, -4.96928e+06); Function value = -2.31103
Polar: (1.22949, -4.99013e+06); Function value = 21.3555
Polar: (0.17173, -4.99672e+06); Function value = -0.177797
Polar: (1.17174, -4.99226e+06); Function value = -1.36547
Polar: (0.2835, -4.98197e+06); Function value = 0.711967
Polar: (0.5352, -4.99914e+06); Function value = -1.01426
Polar: (0.20603, -4.96878e+06); Function value = 0.479797
Polar: (1.408, -4.98539e+06); Function value = -5.14735
Polar: (1.13838, -4.99223e+06); Function value = -1.31125
Polar: (0.14328, -4.99547e+06); Function value = 0.210956
Polar: (0.23658, -4.99724e+06); Function value = -0.520836
Polar: (1.64, -4.99463e+06); Function value = -23.2251
Polar: (0.108, -4.98228e+06); Function value = 0.352883
Polar: (1.18424, -4.97783e+06); Function value = 2.99629
Polar: (1.22099, -4.97521e+06); Function value = 1.96867
Polar: (1.9928, -4.97621e+06); Function value = -3.12167
Polar: (0.6219, -4.9722e+06); Function value = -0.838033
Polar: (0.2377, -4.99404e+06); Function value = -0.450857
Polar: (0.12518, -4.97086e+06); Function value = -0.126772
Polar: (1.7561, -4.9743e+06); Function value = -77.6478
Polar: (0.31898, -4.99937e+06); Function value = 0.329904
Polar: (0.3978, -4.98947e+06); Function value = 0.76251
Polar: (0.29204, -4.97753e+06); Function value = 0.295313
Polar: (0.5571, -4.96957e+06); Function value = -0.657153
Polar: (0.5813, -4.99978e+06); Function value = 0.609323
Polar: (0.1987, -4.98313e+06); Function value = -0.231279
Polar: (1.17167, -4.99155e+06); Function value = -1.3647
Polar: (1.26617, -4.98972e+06); Function value = 2.03214
Polar: (1.14189, -4.98405e+06); Function value = 1.75292
Polar: (1.9637, -4.98168e+06); Function value = -1.96381
Polar: (1.72, -4.9918e+06); Function value = 1.72645
Polar: (0.9194, -4.99067e+06); Function value = 1.81364
Polar: (1.10962, -4.9843e+06); Function value = 1.12146
Polar: (0.30977, -4.99174e+06); Function value = -0.486333
Polar: (1.188, -4.98475e+06); Function value = -1.94219
Polar: (0.8344, -4.96724e+06); Function value = 0.845804
Polar: (1.18487, -4.96803e+06); Function value = -1.19233
Polar: (0.14418, -4.99935e+06); Function value = -0.146667
Polar: (1.447, -4.98395e+06); Function value = 1.48179
Polar: (0.314, -4.99811e+06); Function value = 0.655247
Polar: (0.557, -4.98154e+06); Function value = -1.03236
Polar: (0.29561, -4.98233e+06); Function value = 0.296578
Polar: (1.11918, -4.9896e+06); Function value = -2.64481
Polar: (0.31855, -4.99604e+06); Function value = 0.742661
Polar: (1.30339, -4.99836e+06); Function value = 1.57462
Polar: (1.27032, -4.98804e+06); Function value = -1.94162
Polar: (0.27175, -4.96802e+06); Function value = 0.74306
Polar: (0.32217, -4.98225e+06); Function value = -2.83387
Polar: (1.32331, -4.99708e+06); Function value = -1.32634
Polar: (0.6414, -4.98187e+06); Function value = -1.0201
Polar: (1.4339, -4.99505e+06); Function value = 2.61054
Polar: (0.9349, -4.96767e+06); Function value = 5.21928
Polar: (1.1583, -4.97364e+06); Function value = -1.73759
Polar: (0.20351, -4.99058e+06); Function value = 0.442147
Polar: (0.738, -4.9734e+06); Function value = 1.1188
